날짜,QQQ 매수량,QQQ 매도량,QQQ 잔량,QQQ 종가,QQQ 매수 평균 가격,QQQ 종가치,TQQQ 매수량,TQQQ 매도량,TQQQ 잔량,TQQQ 종가,TQQQ 매수 평균 가격,TQQQ 종가치,예수금,총 평가액
2023-06-30,1,0,328,369.4200134277344,317.91433432616435,121169.76440429688,0,0,1,41.0,22.136802995947395,41.0,20.950454711914062,121231.71485900879
2023-07-03,0,0,328,370.2900085449219,317.91433432616435,121455.12280273438,0,0,1,41.279998779296875,22.136802995947395,41.279998779296875,20.950454711914062,121517.35325622559
2023-07-05,0,0,328,370.2799987792969,317.91433432616435,121451.83959960938,0,0,1,41.25,22.136802995947395,41.25,20.950454711914062,121514.04005432129
2023-07-06,0,0,328,367.4599914550781,317.91433432616435,120526.87719726562,0,0,1,40.279998779296875,22.136802995947395,40.279998779296875,20.950454711914062,120588.10765075684
2023-07-07,0,0,328,366.239990234375,317.91433432616435,120126.716796875,0,0,1,39.869998931884766,22.136802995947395,39.869998931884766,20.950454711914062,120187.5372505188
2023-07-10,0,0,328,366.3599853515625,317.91433432616435,120166.0751953125,0,0,1,39.900001525878906,22.136802995947395,39.900001525878906,20.950454711914062,120226.9256515503
2023-07-11,0,0,328,368.1700134277344,317.91433432616435,120759.76440429688,0,0,1,40.470001220703125,22.136802995947395,40.470001220703125,20.950454711914062,120821.18486022949
2023-07-12,0,0,328,372.82000732421875,317.91433432616435,122284.96240234375,0,0,1,41.970001220703125,22.136802995947395,41.970001220703125,20.950454711914062,122347.88285827637
2023-07-13,0,0,328,379.1499938964844,317.91433432616435,124361.19799804688,0,0,1,44.060001373291016,22.136802995947395,44.060001373291016,20.950454711914062,124426.20845413208
2023-07-14,0,0,328,379.07000732421875,317.91433432616435,124334.96240234375,0,0,1,44.02000045776367,22.136802995947395,44.02000045776367,20.950454711914062,124399.93285751343
2023-07-17,0,0,328,382.6099853515625,317.91433432616435,125496.0751953125,0,0,1,45.2400016784668,22.136802995947395,45.2400016784668,20.950454711914062,125562.26565170288
2023-07-18,0,0,328,385.739990234375,317.91433432616435,126522.716796875,0,0,1,46.31999969482422,22.136802995947395,46.31999969482422,20.950454711914062,126589.98725128174
2023-07-19,0,0,328,385.6499938964844,317.91433432616435,126493.19799804688,0,0,1,46.31999969482422,22.136802995947395,46.31999969482422,20.950454711914062,126560.46845245361
2023-07-20,0,0,328,376.760009765625,317.91433432616435,123577.283203125,0,0,1,43.06999969482422,22.136802995947395,43.06999969482422,20.950454711914062,123641.30365753174
2023-07-21,0,0,328,375.6300048828125,317.91433432616435,123206.6416015625,0,0,1,42.689998626708984,22.136802995947395,42.689998626708984,20.950454711914062,123270.28205490112
2023-07-24,0,0,328,376.2300109863281,317.91433432616435,123403.44360351562,0,0,1,42.86000061035156,22.136802995947395,42.86000061035156,20.950454711914062,123467.25405883789
2023-07-25,0,0,328,378.7799987792969,317.91433432616435,124239.83959960938,0,0,1,43.720001220703125,22.136802995947395,43.720001220703125,20.950454711914062,124304.51005554199
2023-07-26,0,0,328,377.5199890136719,317.91433432616435,123826.55639648438,0,0,1,43.27000045776367,22.136802995947395,43.27000045776367,20.950454711914062,123890.77685165405
2023-07-27,0,0,328,376.6199951171875,317.91433432616435,123531.3583984375,0,0,1,42.900001525878906,22.136802995947395,42.900001525878906,20.950454711914062,123595.2088546753
2023-07-28,0,0,328,383.4800109863281,317.91433432616435,125781.44360351562,0,0,1,45.220001220703125,22.136802995947395,45.220001220703125,20.950454711914062,125847.61405944824
2023-07-31,1,0,328,383.67999267578125,317.91433432616435,125847.03759765625,0,0,1,45.310001373291016,22.136802995947395,45.310001373291016,20.950454711914062,125913.29805374146
2023-08-01,0,0,328,382.7900085449219,317.91433432616435,125555.12280273438,0,0,1,44.959999084472656,22.136802995947395,44.959999084472656,20.950454711914062,125621.03325653076
2023-08-02,0,0,328,374.3900146484375,317.91433432616435,122799.9248046875,0,0,1,42.02000045776367,22.136802995947395,42.02000045776367,20.950454711914062,122862.89525985718
2023-08-03,0,0,328,373.7900085449219,317.91433432616435,122603.12280273438,0,0,1,41.720001220703125,22.136802995947395,41.720001220703125,20.950454711914062,122665.79325866699
2023-08-04,0,0,328,372.0400085449219,317.91433432616435,122029.12280273438,0,0,1,41.13999938964844,22.136802995947395,41.13999938964844,20.950454711914062,122091.21325683594
2023-08-07,0,0,328,375.19000244140625,317.91433432616435,123062.32080078125,0,0,1,42.15999984741211,22.136802995947395,42.15999984741211,20.950454711914062,123125.43125534058
2023-08-08,0,0,328,372.0,317.91433432616435,122016.0,0,0,1,41.08000183105469,22.136802995947395,41.08000183105469,20.950454711914062,122078.03045654297
2023-08-09,0,0,328,367.9100036621094,317.91433432616435,120674.48120117188,0,0,1,39.709999084472656,22.136802995947395,39.709999084472656,20.950454711914062,120735.14165496826
2023-08-10,0,0,328,368.5899963378906,317.91433432616435,120897.51879882812,0,0,1,39.88999938964844,22.136802995947395,39.88999938964844,20.950454711914062,120958.35925292969
2023-08-11,0,0,230,366.239990234375,317.91433432616435,84235.19775390625,0,0,919,39.09000015258789,39.07155271280917,35923.71014022827,27.84935760498047,120186.7572517395
2023-08-14,0,0,230,370.3500061035156,317.91433432616435,85180.5014038086,0,0,919,40.38999938964844,39.07155271280917,37118.409439086914,27.84935760498047,122326.76020050049
2023-08-15,0,0,161,366.4200134277344,317.91433432616435,58993.622161865234,0,0,1565,39.150001525878906,39.10393477877917,61269.75238800049,19.929298400878906,120283.3038482666
2023-08-16,0,0,113,362.5400085449219,317.91433432616435,40967.02096557617,0,0,2025,37.849998474121094,38.81908998858523,76646.24691009521,10.850410461425781,117624.11828613281
2023-08-17,0,0,80,358.5799865722656,317.91433432616435,28686.39892578125,0,0,2348,36.56999969482422,38.50969639195627,85866.35928344727,31.88006591796875,114584.63827514648
2023-08-18,0,0,56,358.1300048828125,317.91433432616435,20055.2802734375,0,0,2585,36.400001525878906,38.316273690501596,94094.00394439697,0.19982147216796875,114149.48403930664
2023-08-21,0,0,40,363.8999938964844,317.91433432616435,14555.999755859375,0,0,2737,38.15999984741211,38.3075949823724,104443.91958236694,22.279747009277344,119022.1990852356
2023-08-22,0,0,28,363.3800048828125,317.91433432616435,10174.64013671875,0,0,2852,37.9900016784668,38.29478880076331,108347.4847869873,13.989612579345703,118536.1145362854
